ticker,company,score,action,confidence,rsi,day_%,month_%,revenue_$B,institutional_%,entry,stop_loss,target1,target2,risk_reward,covered_call,cash_secured_put
MEOH,Methanex Corporation,65.0,Accumulate,Low,24.0,-5.0,-24.0,3.67,79.8,46.34,43.01,50.77,72.33333,1.33,Sell 2026-07-17 $50 call ~$1.12 (52% ann.),Sell 2026-07-17 $45 put ~$1.27 (61% ann.)
PGYWW,Pagaya Technologies Ltd. Warran,61.3,Accumulate,Low,0.2,-29.4,-29.4,1.33,,0.05,0.05,0.06,,,,
CRCL,"Circle Internet Group, Inc.",57.8,Hold,Low,31.5,-16.7,-39.7,2.86,63.6,63.3,52.46,77.76,143.48409,1.33,Sell 2026-07-02 $64 call ~$1.65 (476% ann.),Sell 2026-07-02 $63 put ~$1.87 (542% ann.)
FIG,"Figma, Inc.",57.5,Hold,Low,42.5,-5.0,-33.2,1.16,84.6,18.12,15.95,21.02,35.44444,1.34,Sell 2026-07-02 $18 call ~$0.40 (398% ann.),Sell 2026-07-02 $18 put ~$0.45 (461% ann.)
CNXC,Concentrix Corporation,56.6,Hold,Low,36.8,-12.9,-26.8,9.95,105.3,21.98,18.96,26.01,41.25,1.33,Sell 2026-07-17 $22 call ~$1.27 (125% ann.),Sell 2026-07-17 $20 put ~$0.65 (70% ann.)
OLN,Olin Corporation,56.1,Hold,Low,25.3,-5.2,-23.3,6.72,106.2,19.74,17.87,22.23,29.92857,1.33,Sell 2026-07-17 $20 call ~$0.77 (84% ann.),Sell 2026-07-17 $18 put ~$0.20 (25% ann.)
RDNW,"RideNow Group, Inc.",53.6,Hold,Low,37.4,-8.2,-20.5,1.1,43.4,6.5,5.69,7.57,9.0,1.32,Sell 2026-07-17 $8 call ~$0.60 (198% ann.),Sell 2026-07-17 $2 put ~$0.03 (21% ann.)
HTZWW,"Hertz Global Holdings, Inc Warrant",53.4,Hold,Low,0.1,-46.4,-46.4,8.7,,1.09,0.98,1.24,,1.36,,
TTEC,"TTEC Holdings, Inc.",47.8,Hold,Low,32.8,-6.2,-27.7,2.1,30.8,1.98,1.73,2.32,4.0,1.36,Sell 2026-07-17 $2 call ~$0.15 (163% ann.),
TEAD,Teads Holding Co.,44.5,Reduce,Low,32.2,-5.9,-36.2,1.28,30.0,0.75,0.54,1.03,1.2,1.33,Sell 2026-07-17 $2 call ~$0.05 (143% ann.),
BKKT,"Bakkt, Inc.",43.6,Reduce,Low,41.2,-5.2,-25.2,1.51,21.4,7.85,6.58,9.54,19.0,1.33,Sell 2026-07-02 $8 call ~$0.30 (697% ann.),Sell 2026-07-02 $8 put ~$0.15 (365% ann.)
