ticker,company,score,quality_grade,expected_gain_%,analyst_upside_%,hist_win_rate,hist_avg_return_%,hist_trades,rs_vs_spy,rs_vs_sector,sector,csp_signal,csp_reason,profile,risk_flags,action,confidence,rsi,day_%,month_%,revenue_$B,institutional_%,entry,stop_loss,target1,target2,risk_reward,rr_pass,suggested_shares,position_value,covered_call,cash_secured_put
MTSI,MACOM Technology Solutions Hold,78.7,A,40.1,47.2,1.0,4.47,1,-2.5,-11.9,Technology,moderate,down -3.7% today; uptrend intact (above EMA200); 47% upside to target; limited dip history,opportunity,golden-cross regime; R:R 1.33 below 1.5 floor,Buy,High,34.7,-3.7,-30.2,1.07,,272.44,242.63,312.18,400.92307,1.33,False,8.0,2179.52,Sell 2026-08-21 $280 call ~$23.50 (112% ann.),Sell 2026-08-21 $270 put ~$27.60 (133% ann.)
MRVL,"Marvell Technology, Inc.",78.6,A,25.8,30.4,0.0,-13.33,2,23.5,14.2,Technology,moderate,down -5.9% today; uptrend intact (above EMA200); 30% upside to target; limited dip history,opportunity,high beta (2.2); strong-buy consensus; golden-cross regime; R:R 1.33 below 1.5 floor,Buy,High,39.7,-5.9,-29.9,8.72,,197.04,167.41,236.56,256.9142,1.33,False,8.0,1576.32,Sell 2026-07-24 $198 call ~$1.61 (299% ann.),Sell 2026-07-24 $195 put ~$1.09 (204% ann.)
SNDK,Sandisk Corporation,77.4,A,28.7,47.8,0.0,-1.0,1,44.6,35.3,Technology,moderate,down -6.8% today; uptrend intact (above EMA200); 48% upside to target; limited dip history,opportunity,golden-cross regime; R:R 1.33 below 1.5 floor,Buy,Medium,43.8,-6.8,-35.7,13.18,,1500.94,1219.94,1875.6,2217.7727,1.33,False,,,Sell 2026-07-24 $1505 call ~$18.80 (457% ann.),Sell 2026-07-24 $1500 put ~$14.70 (358% ann.)
FLEX,Flex Ltd.,73.6,A,34.4,40.5,1.0,14.05,2,34.3,25.0,Technology,moderate,down -5.0% today; uptrend intact (above EMA200); 40% upside to target; limited dip history,opportunity,earnings in 4d; strong-buy consensus; golden-cross regime; R:R 1.33 below 1.5 floor,Accumulate,High,40.2,-5.0,-24.7,27.91,,121.5,108.15,139.3,170.7,1.33,False,18.0,2187.0,Sell 2026-08-21 $125 call ~$11.00 (118% ann.),Sell 2026-08-21 $120 put ~$11.70 (127% ann.)
POWL,"Powell Industries, Inc.",73.4,A,30.0,35.3,0.0,-17.28,1,-13.6,-14.2,Industrials,moderate,down -3.6% today; uptrend intact (above EMA200); 35% upside to target; limited dip history,opportunity,golden-cross regime; R:R 1.33 below 1.5 floor,Accumulate,High,41.6,-3.6,-24.4,1.13,,233.76,210.27,265.08,316.25,1.33,False,10.0,2337.6,Sell 2026-08-21 $240 call ~$23.25 (130% ann.),Sell 2026-08-21 $233 put ~$26.95 (151% ann.)
ALAB,"Astera Labs, Inc.",73.4,A,-1.1,-1.3,0.8,9.34,5,59.0,49.7,Technology,strong,down -8.0% today; uptrend intact (above EMA200); historically bounced 80% of 5 similar dips (avg +9.3%),opportunity,trades above analyst target; high beta (3.7); golden-cross regime; R:R 1.33 below 1.5 floor,Accumulate,High,39.6,-8.0,-24.4,1.0,,300.88,247.29,372.32,297.01318,1.33,False,4.0,1203.52,Sell 2026-07-24 $302 call ~$2.52 (306% ann.),Sell 2026-07-24 $300 put ~$3.92 (478% ann.)
STM,STMicroelectronics N.V.,73.2,A,32.8,38.5,0.5,0.79,2,1.3,-8.0,Technology,,no meaningful dip today,opportunity,golden-cross regime; R:R 1.33 below 1.5 floor,Accumulate,High,32.2,-1.0,-29.3,13.1,,52.95,46.25,61.89,73.36154,1.33,False,37.0,1959.15,Sell 2026-07-24 $53 call ~$0.85 (586% ann.),Sell 2026-07-24 $52 put ~$0.20 (140% ann.)
GLW,Corning Incorporated,70.8,A,35.6,41.9,0.0,0.0,0,-6.4,-15.7,Technology,moderate,down -3.3% today; uptrend intact (above EMA200); 42% upside to target; limited dip history,opportunity,earnings in 3d; golden-cross regime; R:R 1.33 below 1.5 floor,Accumulate,High,37.7,-3.3,-33.8,16.32,,150.86,128.67,180.45,214.06667,1.33,False,11.0,1659.46,Sell 2026-07-24 $152 call ~$0.72 (173% ann.),Sell 2026-07-24 $150 put ~$0.85 (207% ann.)
ON,ON Semiconductor Corporation,70.5,A,24.8,29.2,1.0,2.55,2,-11.3,-20.6,Technology,moderate,down -2.9% today; uptrend intact (above EMA200); 29% upside to target; limited dip history,opportunity,high short interest (11%); high beta (2.0); golden-cross regime; R:R 1.33 below 1.5 floor,Accumulate,High,40.6,-2.9,-26.3,6.06,,87.55,77.79,100.56,113.12,1.33,False,25.0,2188.75,Sell 2026-07-24 $88 call ~$0.56 (233% ann.),Sell 2026-07-24 $87 put ~$0.70 (292% ann.)
TTMI,"TTM Technologies, Inc.",69.0,B,32.3,53.9,1.0,2.42,1,-5.0,-14.3,Technology,moderate,down -4.9% today; uptrend intact (above EMA200); 54% upside to target; limited dip history,opportunity,negative free cash flow; high beta (2.1); strong-buy consensus; golden-cross regime; R:R 1.33 below 1.5 floor,Accumulate,Medium,38.7,-4.9,-34.6,3.1,,137.79,119.28,162.45,212.0,1.33,False,13.0,1791.27,Sell 2026-08-21 $140 call ~$15.35 (145% ann.),Sell 2026-08-21 $135 put ~$14.90 (144% ann.)
ENTG,"Entegris, Inc.",69.0,B,22.0,25.8,0.667,9.42,3,-13.9,-23.2,Technology,strong,down -2.5% today; uptrend intact (above EMA200); 26% upside to target; historically bounced 67% of 3 similar dips (avg +9.4%),opportunity,golden-cross regime; R:R 1.33 below 1.5 floor,Accumulate,High,42.2,-2.5,-25.2,3.24,,131.92,116.0,153.15,166.0,1.33,False,15.0,1978.8,Sell 2026-08-21 $135 call ~$12.70 (125% ann.),Sell 2026-08-21 $130 put ~$13.30 (133% ann.)
GNRC,Generac Holdlings Inc.,68.3,A,25.4,42.4,1.0,9.26,2,-9.7,-10.4,Industrials,,no meaningful dip today,opportunity,earnings in 4d; high beta (1.9); golden-cross regime; R:R 1.33 below 1.5 floor,Accumulate,Medium,31.2,-1.6,-29.9,4.33,,207.05,189.47,230.49,294.8,1.33,False,14.0,2898.7,Sell 2026-07-24 $212 call ~$0.65 (115% ann.),Sell 2026-07-24 $205 put ~$1.62 (289% ann.)
GFS,GlobalFoundries Inc.,66.5,B,28.1,46.8,0.5,0.35,2,-12.2,-21.6,Technology,moderate,down -3.1% today; 47% upside to target; limited dip history,opportunity,high short interest (17%); golden-cross regime; R:R 1.33 below 1.5 floor,Accumulate,Medium,30.8,-3.1,-35.9,6.84,,55.17,48.95,63.45,81.0,1.33,False,40.0,2206.8,Sell 2026-08-21 $60 call ~$3.45 (82% ann.),Sell 2026-08-21 $55 put ~$5.35 (127% ann.)
VSH,"Vishay Intertechnology, Inc.",66.2,C,-7.5,-12.5,0.5,-1.19,2,40.5,31.1,Technology,moderate,down -4.8% today; uptrend intact (above EMA200); limited dip history,opportunity,high short interest (15%); trades above analyst target; negative free cash flow; golden-cross regime; R:R 1.33 below 1.5 floor,Accumulate,Medium,38.0,-4.8,-35.1,3.19,,38.86,32.65,47.14,34.0,1.33,False,40.0,1554.4,Sell 2026-08-21 $40 call ~$4.05 (136% ann.),Sell 2026-08-21 $35 put ~$2.75 (102% ann.)
COHR,Coherent Corp.,66.0,C,30.1,35.4,0.667,10.4,3,-10.0,-19.3,Technology,strong,down -7.7% today; uptrend intact (above EMA200); 35% upside to target; historically bounced 67% of 3 similar dips (avg +10.4%),opportunity,negative free cash flow; high beta (2.0); golden-cross regime; R:R 1.33 below 1.5 floor,Accumulate,High,39.3,-7.7,-29.0,6.6,,289.09,246.56,345.79,391.45267,1.33,False,5.0,1445.45,Sell 2026-07-24 $290 call ~$3.65 (461% ann.),Sell 2026-07-24 $288 put ~$2.58 (327% ann.)
BE,Bloom Energy Corporation,64.8,B,35.2,41.4,0.8,6.66,5,-15.7,-16.3,Industrials,strong,down -6.8% today; uptrend intact (above EMA200); 41% upside to target; historically bounced 80% of 5 similar dips (avg +6.7%),opportunity,earnings in 4d; high leverage (D/E 311%); high beta (3.7); golden-cross regime; R:R 1.33 below 1.5 floor,Accumulate,High,39.0,-6.8,-34.5,2.45,,202.44,161.37,257.2,286.2,1.33,False,6.0,1214.64,Sell 2026-07-24 $202 call ~$3.00 (540% ann.),Sell 2026-07-24 $200 put ~$1.96 (358% ann.)
LBRT,Liberty Energy Inc.,63.6,C,52.1,86.9,0.5,0.52,2,-50.1,-50.7,Energy,moderate,down -7.7% today; 87% upside to target; limited dip history,opportunity,high short interest (13%); golden-cross regime; R:R 1.33 below 1.5 floor,Accumulate,Medium,23.5,-7.7,-33.5,4.2,,18.11,15.74,21.27,33.84615,1.33,False,105.0,1901.55,Sell 2026-08-21 $19 call ~$0.70 (50% ann.),Sell 2026-08-21 $18 put ~$0.93 (67% ann.)
ADTN,"ADTRAN Holdings, Inc.",61.5,C,57.1,95.2,0.5,5.26,2,-43.3,-52.6,Technology,,no meaningful dip today,opportunity,high short interest (18%); small cap (thinner liquidity); golden-cross regime; R:R 1.34 below 1.5 floor,Accumulate,Medium,28.5,-1.6,-28.8,1.12,,9.99,8.65,11.78,19.5,1.34,False,186.0,1858.14,Sell 2026-08-21 $10 call ~$0.97 (127% ann.),Sell 2026-08-21 $9 put ~$0.53 (76% ann.)
INTC,Intel Corporation,60.9,D,4.5,11.8,0.25,-1.93,4,9.8,0.5,Technology,,"down -3.1% with upside signals, but history is against it (bounced only 25% of 4 dips)",opportunity,negative free cash flow; high beta (2.2); golden-cross regime; R:R 1.33 below 1.5 floor,Accumulate,Low,39.9,-3.1,-26.9,53.76,,97.12,84.65,113.75,108.625,1.33,False,20.0,1942.4,Sell 2026-07-24 $98 call ~$0.43 (162% ann.),Sell 2026-07-24 $97 put ~$1.50 (566% ann.)
FPS,"Forgent Power Solutions, Inc.",60.6,C,36.8,61.3,0.0,0.0,0,-4.4,-5.0,Industrials,moderate,down -4.7% today; 61% upside to target; limited dip history,opportunity,high short interest (28%); strong-buy consensus; R:R 1.33 below 1.5 floor,Accumulate,Medium,31.2,-4.7,-36.7,1.2,,37.14,31.86,44.17,59.9,1.33,False,47.0,1745.58,Sell 2026-08-21 $38 call ~$3.10 (109% ann.),Sell 2026-08-21 $35 put ~$2.75 (102% ann.)
STUB,"StubHub Holdings, Inc.",60.5,C,33.3,55.4,0.5,-6.26,2,10.1,24.3,Communication Services,,no meaningful dip today,opportunity,R:R 1.35 below 1.5 floor,Accumulate,Medium,32.1,1.0,-25.3,1.79,,8.6,7.59,9.96,13.375,1.35,False,247.0,2124.2,Sell 2026-07-24 $9 call ~$0.05 (212% ann.),Sell 2026-07-24 $8 put ~$0.12 (537% ann.)
RXT,"Rackspace Technology, Inc.",59.4,F,11.0,19.6,0.5,8.82,10,162.8,153.4,Technology,,no meaningful dip today,opportunity,high short interest (21%); small cap (thinner liquidity); high beta (3.0); golden-cross regime; R:R 1.33 below 1.5 floor,Hold,Medium,41.0,2.0,-35.6,2.7,,4.1,3.02,5.54,4.9,1.33,False,231.0,947.1,Sell 2026-07-24 $4 call ~$0.03 (223% ann.),Sell 2026-07-24 $4 put ~$0.05 (456% ann.)
MWH,"SOLV Energy, Inc.",58.3,C,41.3,68.9,1.0,22.84,1,-30.1,-26.4,Utilities,moderate,down -6.6% today; 69% upside to target; limited dip history,opportunity,high short interest (11%); near 52-week low (support test / falling knife); strong-buy consensus; R:R 1.34 below 1.5 floor,Hold,Medium,40.0,-6.6,-24.2,2.76,,27.94,24.99,31.88,47.18182,1.34,False,84.0,2346.96,Sell 2026-08-21 $30 call ~$2.20 (103% ann.),Sell 2026-08-21 $25 put ~$1.60 (83% ann.)
