ticker,profiles,price,day_%,week_%,revenue_$B,rec_mean,rec,target,upside_%,options
BTGO,LARGE_CAP_DIP+SMALL_CAP_CRASH,4.71,-14.7,-21.6,18.15,1.33333,strong_buy,14.33333,204.3,(P/C 0.41)
ARIS,LARGE_CAP_DIP,15.23,-11.1,-16.0,1.14,2.0,buy,37.0,142.9,(P/C 0.44)
CWH,LARGE_CAP_DIP,6.41,-8.6,-12.6,6.31,1.5,strong_buy,13.16667,105.4,(P/C 0.91)
CMCO,LARGE_CAP_DIP,12.88,-8.5,-19.3,1.19,2.0,buy,26.0,101.9,(P/C 0.07)
GCT,LARGE_CAP_DIP,31.53,-5.3,-12.5,1.38,1.75,buy,56.75,80.0,(P/C 0.29)
CRCL,LARGE_CAP_DIP+SMALL_CAP_CRASH,80.28,-11.3,-29.0,2.86,2.2,buy,143.48409,78.7,elevated volume (P/C 0.90)
HL,LARGE_CAP_DIP,14.78,-12.2,-16.8,1.63,2.22222,buy,25.52778,72.7,elevated volume (P/C 0.33)
AUGO,LARGE_CAP_DIP+SMALL_CAP_CRASH,60.4,-9.7,-21.8,1.14,1.6,buy,101.34,67.8,(P/C 0.42)
CDE,LARGE_CAP_DIP,16.37,-11.4,-15.3,2.57,1.6,buy,27.25,66.5,(P/C 0.81)
GLXY,LARGE_CAP_DIP,25.14,-11.5,-15.0,58.71,1.5625,buy,41.6875,65.8,(P/C 0.92)
AGI,LARGE_CAP_DIP,35.52,-8.0,-12.9,2.07,1.38462,strong_buy,56.25,58.4,(P/C 0.58)
AG,LARGE_CAP_DIP,16.99,-14.1,-19.4,1.49,2.0,buy,26.875,58.2,elevated volume (P/C 0.51)
EQX,LARGE_CAP_DIP+SMALL_CAP_CRASH,10.79,-6.2,-20.3,2.41,1.5,strong_buy,17.0,57.6,(P/C 25.40)
BTG,LARGE_CAP_DIP,4.18,-8.7,-12.2,3.69,2.30769,buy,6.55,56.7,(P/C 2.89)
COIN,LARGE_CAP_DIP,152.4,-7.1,-19.4,6.29,2.0,buy,229.73567,50.7,elevated volume (P/C 0.89)
AU,LARGE_CAP_DIP,84.12,-8.7,-13.1,11.17,2.0,buy,119.85714,42.5,(P/C 0.11)
CAL,LARGE_CAP_DIP,12.37,-12.9,-15.0,2.81,2.0,buy,17.0,37.4,(P/C 4.97)
AVGO,LARGE_CAP_DIP,385.73,-7.9,-13.7,75.46,1.33333,strong_buy,517.6067,34.2,elevated volume (P/C 1.18)
ARXS,LARGE_CAP_DIP,39.41,-6.1,-12.3,1.67,1.27273,strong_buy,52.3,32.7,(P/C 0.12)
HBM,LARGE_CAP_DIP,25.66,-14.8,-12.0,2.37,1.35,strong_buy,33.6,30.9,(P/C 0.40)
AFRM,LARGE_CAP_DIP,63.61,-7.4,-13.6,3.97,1.64516,buy,83.15185,30.7,(P/C 0.57)
HOOD,LARGE_CAP_DIP,82.47,-6.6,-12.5,4.61,1.85185,buy,99.81667,21.0,elevated volume (P/C 0.50)
CGAU,LARGE_CAP_DIP,15.27,-9.6,-13.6,1.57,2.16667,buy,17.75,16.2,(P/C 2.13)
CIEN,LARGE_CAP_DIP,488.21,-8.9,-15.9,5.57,2.05,buy,564.91736,15.7,elevated volume (P/C 1.20)
