ticker,profiles,price,day_%,week_%,month_%,revenue_$B,rec_mean,rec,target,upside_%,options
TTEC,MONTHLY_CRASH_BOUNCE,1.43,1.1,-8.6,-30.3,2.04,2.33333,buy,3.0,109.1,(P/C 0.33)
ARKO,MONTHLY_CRASH_BOUNCE,4.64,-1.6,4.1,-41.4,6.89,1.5,strong_buy,9.0,93.8,(P/C 0.13)
ADTN,MONTHLY_CRASH_BOUNCE,7.84,-3.2,-3.9,-35.4,1.14,1.55556,buy,14.66667,87.1,(P/C 0.51)
ALHC,MONTHLY_CRASH_BOUNCE,13.15,-0.6,-2.8,-38.9,4.58,1.5,strong_buy,24.07692,83.2,(P/C 0.96)
TTMI,LARGE_CAP_DIP,118.59,-5.7,-14.1,-19.2,3.38,1.25,strong_buy,214.25,80.7,(P/C 2.51)
UCTT,LARGE_CAP_DIP,77.02,-5.9,-15.0,-26.8,2.2,1.2,strong_buy,137.0,77.9,(P/C 0.35)
DIOD,LARGE_CAP_DIP,93.81,-5.3,-12.4,0.1,1.63,1.0,strong_buy,162.5,73.2,(P/C 0.52)
ICHR,LARGE_CAP_DIP+MONTHLY_CRASH_BOUNCE,60.56,-8.4,-12.5,-36.8,1.01,1.42857,strong_buy,95.85714,58.3,(P/C 0.97)
AHCO,MONTHLY_CRASH_BOUNCE,5.82,0.1,0.9,-48.0,3.36,1.14286,strong_buy,9.14286,57.0,(P/C 0.60)
DOCN,LARGE_CAP_DIP,113.02,-9.8,-15.3,-17.2,1.01,1.5625,buy,175.2143,55.0,(P/C 0.72)
MTSI,LARGE_CAP_DIP,272.63,-6.9,-12.3,1.0,1.16,1.6,buy,399.64285,46.6,(P/C 0.22)
TSEM,LARGE_CAP_DIP,227.45,-5.4,-12.6,-9.3,1.71,1.33333,strong_buy,321.32144,41.3,(P/C 0.28)
ONTO,LARGE_CAP_DIP,295.04,-6.5,-12.5,-1.3,1.12,1.18182,strong_buy,388.45456,31.7,(P/C 1.99)
LZB,LARGE_CAP_DIP,35.06,-14.1,-14.6,-10.6,2.13,2.0,buy,46.0,31.2,(P/C 12.26)
CRDO,LARGE_CAP_DIP,232.12,-5.6,-13.4,3.7,1.34,1.31579,strong_buy,281.1292,21.1,(P/C 0.99)
CRSR,LARGE_CAP_DIP,11.08,-7.1,-14.2,12.1,1.45,2.22222,buy,12.77778,15.3,(P/C 0.57)
