ticker,revenue,checked_at
AMZN,775680032768.0,2026-09-07 16:14:04.176739
WMT,735839977472.0,2026-09-08 14:50:31.060341
AAPL,466822987776.0,2026-09-07 16:14:04.176739
UNH,450525986816.0,2026-09-09 14:57:24.401443
GOOG,445865984000.0,2026-09-07 16:14:03.042793
GOOGL,445865984000.0,2026-09-07 16:14:03.042793
CVS,412644999168.0,2026-09-07 16:14:04.858918
MCK,410983006208.0,2026-09-08 14:50:31.060341
BRK-B,384687013888.0,2026-09-07 16:14:01.314358
BRK-A,384687013888.0,2026-09-07 16:14:01.314358
XOM,361060007936.0,2026-09-09 14:57:19.509815
COR,332771328000.0,2026-09-07 16:14:01.314358
MSFT,331839012864.0,2026-09-08 14:50:31.060341
NVDA,302970011648.0,2026-09-08 14:50:29.232910
SHEL,296600993792.0,2026-09-08 14:50:29.232910
COST,293586993152.0,2026-09-07 16:14:01.314358
CI,282382008320.0,2026-09-07 16:14:01.314358
CAH,254247993344.0,2026-09-07 16:14:01.314358
META,228246994944.0,2026-09-08 14:50:31.060341
BP,215465000960.0,2026-09-07 16:14:01.314358
CVX,209383997440.0,2026-09-07 16:14:04.858918
ELV,201113993216.0,2026-09-07 16:14:04.858918
TTE,196381999104.0,2026-09-09 14:57:24.401443
F,187972993024.0,2026-09-07 16:14:01.314358
JPM,186328006656.0,2026-09-08 14:50:30.912313
GM,185527992320.0,2026-09-07 16:14:03.042793
CNC,180304003072.0,2026-09-07 16:14:01.314358
HD,169176006656.0,2026-09-07 16:14:03.042793
SNEX,155784396800.0,2026-09-08 14:50:29.232910
MPC,154145996800.0,2026-09-08 14:50:31.060341
PSX,152167006208.0,2026-09-08 14:50:28.779950
DELL,151197007872.0,2026-09-07 16:14:04.858918
KR,148645003264.0,2026-09-08 14:50:30.912313
HUM,145679007744.0,2026-09-08 14:50:30.912313
VZ,138894999552.0,2026-09-09 14:57:24.401443
VLO,132429996032.0,2026-09-09 14:57:24.401443
T,127238995968.0,2026-09-09 14:57:24.401443
CMCSA,124903997440.0,2026-09-07 16:14:01.314358
BAC,113931001856.0,2026-09-07 16:14:04.176739
EQNR,113652998144.0,2026-09-07 16:14:04.858918
TGT,107704999936.0,2026-09-09 14:57:24.401443
ET,107378999296.0,2026-09-07 16:14:04.858918
TSLA,103619002368.0,2026-09-09 14:57:24.401443
DIS,98860998656.0,2026-09-07 16:14:04.858918
JNJ,97929003008.0,2026-09-08 14:50:30.912313
PEP,96904003584.0,2026-09-08 14:50:28.779950
FDX,94720000000.0,2026-09-07 16:14:04.176739
BA,93994999808.0,2026-09-07 16:14:04.176739
RTX,93499998208.0,2026-09-08 14:50:29.232910
TMUS,92188999680.0,2026-09-09 14:57:24.401443
BG,91818999808.0,2026-09-07 16:14:01.314358
JBS,91168210944.0,2026-09-08 14:50:30.912313
PGR,91019001856.0,2026-09-08 14:50:28.779950
LOW,90431995904.0,2026-09-08 14:50:30.912313
MU,90273996800.0,2026-09-08 14:50:31.060341
UPS,89929998336.0,2026-09-09 14:57:24.401443
AVGO,89103998976.0,2026-09-07 16:14:04.176739
PG,87031996416.0,2026-09-08 14:50:28.779950
SYY,84552998912.0,2026-09-09 14:57:24.401443
ACI,83233300480.0,2026-09-07 16:14:04.858918
WFC,83026001920.0,2026-09-09 14:57:24.401443
ADM,82099003392.0,2026-09-07 16:14:04.176739
C,81711996928.0,2026-09-07 16:14:01.314358
BN,80692002816.0,2026-09-07 16:14:01.314358
LLY,79666003968.0,2026-09-08 14:50:30.912313
MET,79398002688.0,2026-09-08 14:50:31.060341
HCA,78012997632.0,2026-09-07 16:14:03.042793
MS,77827997696.0,2026-09-08 14:50:31.060341
LMT,77013999616.0,2026-09-08 14:50:30.912313
CAT,74728996864.0,2026-09-07 16:14:01.314358
ACN,73100591104.0,2026-09-07 16:14:04.858918
AXP,70912999424.0,2026-09-07 16:14:04.176739
ALL,70137004032.0,2026-09-07 16:14:04.176739
SNX,69766078464.0,2026-09-08 14:50:29.232910
IBM,69094998016.0,2026-09-08 14:50:30.912313
DAL,68287000576.0,2026-09-07 16:14:04.858918
GS,67569999872.0,2026-09-07 16:14:03.042793
HSBC,67432001536.0,2026-09-08 14:50:30.912313
ORCL,67356999680.0,2026-09-08 14:50:28.779950
MRK,66568998912.0,2026-09-08 14:50:31.060341
PRU,65223999488.0,2026-09-08 14:50:28.779950
COP,64459001856.0,2026-09-07 16:14:01.314358
ABBV,64385998848.0,2026-09-07 16:14:04.176739
PFGC,64339501056.0,2026-09-08 14:50:28.779950
PFE,63695998976.0,2026-09-08 14:50:28.779950
CSCO,63324999680.0,2026-09-07 16:14:04.858918
UAL,62902001664.0,2026-09-09 14:57:24.401443
MT,62846001152.0,2026-09-08 14:50:31.060341
BUD,62614999040.0,2026-09-07 16:14:01.314358
TJX,62363000832.0,2026-09-09 14:57:24.401443
CB,61895999488.0,2026-09-07 16:14:01.314358
RIO,61793001472.0,2026-09-08 14:50:29.232910
AZN,61366001664.0,2026-09-07 16:14:04.176739
HPQ,59162001408.0,2026-09-07 16:14:03.042793
BHP,58759999488.0,2026-09-07 16:14:01.314358
EPD,58470998016.0,2026-09-07 16:14:04.858918
GLXY,58366902272.0,2026-09-07 16:14:03.042793
AAL,58337001472.0,2026-09-07 16:14:04.176739
INTC,57031999488.0,2026-09-08 14:50:30.912313
NVS,56692998144.0,2026-09-08 14:50:29.232910
INGM,55975514112.0,2026-09-08 14:50:30.912313
TSN,55694000128.0,2026-09-09 14:57:24.401443
UBER,55226998784.0,2026-09-09 14:57:24.401443
GD,54861000704.0,2026-09-07 16:14:03.042793
CHTR,54395998208.0,2026-09-07 16:14:01.314358
UBS,53040001024.0,2026-09-09 14:57:24.401443
PAGP,52304998400.0,2026-09-08 14:50:28.779950
PAA,52304998400.0,2026-09-08 14:50:28.779950
GE,50638999552.0,2026-09-07 16:14:03.042793
KO,50128998400.0,2026-09-08 14:50:30.912313
BMY,49186000896.0,2026-09-07 16:14:01.314358
TRV,48979001344.0,2026-09-09 14:57:24.401443
NFLX,48370765824.0,2026-09-08 14:50:31.060341
COF,48109998080.0,2026-09-07 16:14:01.314358
DE,47927001088.0,2026-09-07 16:14:04.858918
ABT,46584999936.0,2026-09-07 16:14:04.858918
NKE,46398001152.0,2026-09-08 14:50:31.060341
TMO,46336000000.0,2026-09-09 14:57:24.401443
V,44487999488.0,2026-09-09 14:57:24.401443
QCOM,44068999168.0,2026-09-08 14:50:28.779950
CRM,43938000896.0,2026-09-07 16:14:04.858918
CBRE,43711000576.0,2026-09-07 16:14:01.314358
DG,43637997568.0,2026-09-07 16:14:04.858918
NOC,42892001280.0,2026-09-08 14:50:31.060341
MGA,42671001600.0,2026-09-08 14:50:31.060341
PM,42545000448.0,2026-09-08 14:50:28.779950
MOH,42468999168.0,2026-09-08 14:50:31.060341
BBY,42201001984.0,2026-09-07 16:14:04.176739
HPE,41870999552.0,2026-09-07 16:14:03.042793
WKC,41697001472.0,2026-09-09 14:57:24.401443
GEV,41366999040.0,2026-09-07 16:14:03.042793
DOW,41318998016.0,2026-09-07 16:14:04.858918
AMD,41305001984.0,2026-09-07 16:14:04.176739
USFD,40133001216.0,2026-09-09 14:57:24.401443
MDLZ,39674998784.0,2026-09-08 14:50:31.060341
SUN,39580999680.0,2026-09-08 14:50:29.232910
SUNC,39580999680.0,2026-09-08 14:50:29.232910
OKE,39366000640.0,2026-09-08 14:50:28.779950
SMCI,39063072768.0,2026-09-08 14:50:29.232910
SMCIP,39063072768.0,2026-08-17 11:18:36.723989
CRH,38632001536.0,2026-09-07 16:14:04.858918
SBUX,38338301952.0,2026-09-08 14:50:29.232910
AMGN,38094999552.0,2026-09-07 16:14:04.176739
HON,38057000960.0,2026-09-07 16:14:03.042793
LAD,37936398336.0,2026-09-08 14:50:30.912313
MDT,37541998592.0,2026-09-08 14:50:31.060341
CHSCM,37405868032.0,2026-09-07 16:14:01.314358
CHSCP,37405868032.0,2026-09-07 16:14:01.314358
CHSCO,37405868032.0,2026-09-07 16:14:01.314358
CHSCN,37405868032.0,2026-09-07 16:14:01.314358
CHSCL,37405868032.0,2026-09-07 16:14:01.314358
SLB,36366000128.0,2026-09-08 14:50:29.232910
WBD,36115001344.0,2026-09-09 14:57:24.401443
NUE,36101001216.0,2026-09-08 14:50:31.060341
ARW,35924754432.0,2026-09-07 16:14:04.176739
APO,35598000128.0,2026-09-07 16:14:04.176739
CPNG,35462000640.0,2026-09-07 16:14:04.858918
LIN,35448999936.0,2026-09-08 14:50:30.912313
MELI,35181998080.0,2026-09-08 14:50:31.060341
MA,35083001856.0,2026-09-08 14:50:30.912313
CMI,34708000768.0,2026-09-07 16:14:01.314358
PBF,34373201920.0,2026-09-08 14:50:28.779950
PYPL,34127998976.0,2026-09-08 14:50:28.779950
JBL,33589999616.0,2026-09-08 14:50:30.912313
DHI,33350000640.0,2026-09-07 16:14:04.858918
NRG,33124999168.0,2026-09-08 14:50:31.060341
PWR,32905140224.0,2026-09-08 14:50:28.779950
DUK,32803000320.0,2026-09-07 16:14:04.858918
LEN-B,32737234944.0,2026-09-08 14:50:30.912313
LEN,32737234944.0,2026-09-08 14:50:30.912313
PAG,32198500352.0,2026-09-08 14:50:28.779950
FERG,31446200320.0,2026-09-07 16:14:04.176739
SW,31325999104.0,2026-09-09 14:57:24.401443
CEG,31270000640.0,2026-09-07 16:14:01.314358
DINO,31228000256.0,2026-09-07 16:14:04.858918
LYB,31192000512.0,2026-09-08 14:50:30.912313
UNFI,31152001024.0,2026-09-09 14:57:24.401443
AMAT,30837000192.0,2026-09-07 16:14:04.176739
GILD,30456999936.0,2026-09-07 16:14:03.042793
SOMN,30179000320.0,2026-09-08 14:50:29.232910
SO,30179000320.0,2026-09-08 14:50:29.232910
LUV,30072999936.0,2026-09-08 14:50:28.779950
ETN,30026000384.0,2026-09-07 16:14:04.858918
MDLN,29938999296.0,2026-09-08 14:50:31.060341
HIG,29315000320.0,2026-09-07 16:14:03.042793
