ticker,revenue,checked_at
A,7232000000.0,2026-06-08 03:51:03.488256
AA,12654999552.0,2026-06-08 03:51:03.488256
AACB,,2026-06-08 03:51:03.488256
AACBR,,2026-06-08 03:51:03.488256
AACBU,,2026-06-08 03:51:03.488256
AACG,527008384.0,2026-06-08 03:51:03.488256
AACI,,2026-06-08 03:51:03.488256
AACIU,,2026-06-08 03:51:03.488256
AACIW,,2026-06-08 03:51:03.488256
AACO,,2026-06-08 03:51:03.488256
AACOU,,2026-06-08 03:51:03.488256
AACOW,,2026-06-08 03:51:03.488256
AACP,,2026-06-08 03:51:03.488256
AACPR,,2026-06-08 03:51:03.488256
AACPU,,2026-06-08 03:51:03.488256
AACPW,,2026-06-08 03:51:03.488256
AADX,522089984.0,2026-06-08 03:51:03.488256
AAL,55993999360.0,2026-06-08 03:51:03.488256
AAME,208218000.0,2026-06-08 03:51:03.488256
AAMI,610800000.0,2026-06-08 03:51:03.488256
AAOI,507000000.0,2026-06-08 03:51:03.488256
AAON,1616957952.0,2026-06-08 03:51:03.488256
AAP,8632000512.0,2026-06-08 03:51:03.488256
AAPG,574120000.0,2026-06-08 03:51:03.488256
AAPL,451442016256.0,2026-06-08 03:51:03.488256
AARD,,2026-06-08 03:51:03.488256
AAT,433830016.0,2026-06-08 03:51:03.488256
AAUC,1379527040.0,2026-06-08 03:51:03.488256
AB,,2026-06-08 03:51:03.488256
ABAT,16284496.0,2026-06-08 03:51:03.488256
ABBV,62819000320.0,2026-06-08 03:51:03.488256
ABCB,1172459008.0,2026-06-08 03:51:03.488256
ABCL,79208000.0,2026-06-08 03:51:03.488256
ABEO,14540000.0,2026-06-08 03:51:03.488256
ABEV,88209571840.0,2026-06-08 03:51:03.488256
ABG,17963499520.0,2026-06-08 03:51:03.488256
ABLV,105203368.0,2026-06-08 03:51:03.488256
ABLVW,105203368.0,2026-06-08 03:51:03.488256
ABM,9052800000.0,2026-06-08 03:51:03.488256
ABNB,12647000064.0,2026-06-08 03:51:03.488256
ABOS,,2026-06-08 03:51:03.488256
ABR,530420992.0,2026-06-08 03:51:03.488256
ABR$D,,2026-06-08 03:51:03.488256
ABR$E,,2026-06-08 03:51:03.488256
ABR$F,,2026-06-08 03:51:03.488256
ABSI,1836000.0,2026-06-08 03:51:03.488256
ABT,45134000128.0,2026-06-08 03:51:03.488256
ABTC,234944000.0,2026-06-08 03:51:03.488256
ABTS,9128666.0,2026-06-08 03:51:03.488256
ABUS,191444992.0,2026-06-08 03:51:03.488256
ABVC,,2026-06-08 03:51:03.488256
ABVX,4920000.0,2026-06-08 03:51:03.488256
ABX,250488576.0,2026-06-08 03:51:03.488256
ABXL,,2026-06-08 03:51:03.488256
ACA,2907500032.0,2026-06-08 03:51:03.488256
ACAA,,2026-06-08 03:51:03.488256
ACAAU,,2026-06-08 03:51:03.488256
ACAAW,,2026-06-08 03:51:03.488256
ACAD,1095250048.0,2026-06-08 03:51:03.488256
